k_x,k_y,final_pos_x,final_pos_y,final_pos_z
-0.6,0.4,-0.629426,0.719699,0.043905
-0.5,0.4,-0.492946,0.639881,0.045938
-0.4,0.4,-0.389664,0.631827,0.039319
-0.3,0.4,-0.187712,0.495493,0.058263
-0.2,0.4,-0.081149,0.465088,0.066338
-0.1,0.4,-0.106731,0.494835,0.104672
0.0,0.4,0.018638,0.477307,0.091217
0.1,0.4,0.078563,0.381509,0.094754
0.2,0.4,0.160965,0.400233,0.089227
0.3,0.4,0.280123,0.444919,0.099162
0.4,0.4,0.413685,0.852417,0.058106
0.5,0.4,0.546259,0.98991,0.094511
0.6,0.4,0.758192,0.828844,0.119746
0.7,0.4,0.711968,0.968888,0.053633
0.8,0.4,1.050856,0.802294,0.101234
0.9,0.4,1.275538,0.707914,0.076856
1.0,0.4,1.265555,0.658402,0.079072
-1.0,0.5,-1.25422,0.386253,0.032679
-0.9,0.5,-0.947919,0.716654,0.03583
-0.8,0.5,-0.768229,0.776582,0.037656
-0.7,0.5,-0.699175,0.725748,0.039015
-0.6,0.5,-0.611122,0.811863,0.041797
-0.5,0.5,-0.476986,0.81278,0.041561
-0.4,0.5,-0.316563,0.675752,0.043083
-0.3,0.5,-0.224337,0.680819,0.040842
-0.2,0.5,-0.172535,0.649541,0.071927
-0.1,0.5,-0.056828,0.964446,0.048147
0.0,0.5,0.092642,0.72388,0.106127
0.1,0.5,0.11051,0.508058,0.106678
0.2,0.5,0.187773,0.485118,0.095328
0.3,0.5,0.287268,0.549869,0.106
0.4,0.5,0.536261,0.79391,0.114771
0.5,0.5,0.404224,1.096651,0.064173
0.6,0.5,0.586073,1.096209,0.107613
0.7,0.5,0.80952,1.028687,0.127321
0.8,0.5,0.966232,0.86577,0.11367
0.9,0.5,1.297245,0.733614,0.06244
1.0,0.5,1.217608,0.703038,0.037995
-1.0,0.6,-1.240584,0.185293,0.027208
-0.9,0.6,-1.180442,0.573216,0.036449
-0.8,0.6,-0.693519,0.882421,0.03572
-0.7,0.6,-0.616559,0.917468,0.035968
-0.6,0.6,-0.540046,1.067672,0.040504
-0.5,0.6,-0.403157,0.917728,0.038089
-0.4,0.6,-0.296572,0.775701,0.039209
-0.3,0.6,-0.205043,0.730453,0.040241
-0.2,0.6,-0.160313,0.757729,0.04027
-0.1,0.6,-0.00223,1.125246,0.041303
0.0,0.6,0.199085,1.033717,0.091476
0.1,0.6,0.222722,0.641427,0.119525
0.2,0.6,0.297193,0.592232,0.114702
0.3,0.6,0.359131,0.551388,0.129909
0.4,0.6,0.504914,0.642818,0.116424
0.5,0.6,0.654805,1.059844,0.072712
0.6,0.6,0.947169,0.945263,0.110417
0.7,0.6,0.909612,1.024519,0.064619
0.8,0.6,0.974393,0.884795,0.064846
0.9,0.6,0.923975,0.507548,0.045917
1.0,0.6,0.916464,-0.067872,0.045668
-1.0,0.7,-1.308584,-0.026266,0.038377
-0.9,0.7,-0.904614,1.029215,0.029267
-0.8,0.7,-0.896891,0.998347,0.028297
-0.7,0.7,-0.638263,0.972549,0.034948
-0.6,0.7,-0.47521,0.990997,0.037157
-0.5,0.7,-0.394887,0.708945,0.039811
-0.4,0.7,-0.337187,0.741384,0.039436
-0.3,0.7,-0.259788,0.795176,0.0367
-0.2,0.7,-0.177523,0.797173,0.035117
-0.1,0.7,0.09252,1.343479,0.038183
0.0,0.7,0.248813,1.236102,0.08731
0.1,0.7,0.340026,0.948453,0.109575
0.2,0.7,0.490303,0.85331,0.11997
0.3,0.7,0.68791,0.774381,0.12568
0.4,0.7,0.717551,0.744735,0.136313
0.5,0.7,0.803072,1.016959,0.112781
0.6,0.7,0.925123,0.998818,0.113162
0.7,0.7,1.081351,0.568509,0.118307
0.8,0.7,1.096204,0.61639,0.088729
0.9,0.7,1.055837,0.334305,0.044547
1.0,0.7,1.224874,0.30992,0.066864
-1.0,0.8,-1.291212,0.62636,0.036301
-0.9,0.8,-1.244,0.508492,0.038535
-0.8,0.8,-0.792211,0.892063,0.034152
-0.7,0.8,-0.65646,1.028716,0.032099
-0.6,0.8,-0.528314,0.953104,0.034607
-0.5,0.8,-0.427589,0.754516,0.0371
-0.4,0.8,-0.325493,0.701447,0.035921
-0.3,0.8,-0.235293,0.922611,0.036043
-0.2,0.8,-0.195806,1.250519,0.037032
-0.1,0.8,0.226227,1.532743,0.029291
0.0,0.8,0.381324,1.379425,0.069821
0.1,0.8,0.516526,1.200445,0.090056
0.2,0.8,0.55571,0.965527,0.119557
0.3,0.8,0.795042,0.90649,0.114645
0.4,0.8,0.872366,0.773955,0.136684
0.5,0.8,0.908061,0.866581,0.114176
0.6,0.8,1.000807,0.687127,0.036022
0.7,0.8,1.049798,0.375905,0.040268
0.8,0.8,1.098781,0.777797,0.116037
0.9,0.8,1.059709,0.254946,0.046442
1.0,0.8,1.083404,-0.166541,0.071788
-1.0,0.9,-1.294832,0.693698,0.041658
-0.9,0.9,-1.040082,0.96434,0.029483
-0.8,0.9,-0.782317,0.893852,0.030391
-0.7,0.9,-0.67067,0.876824,0.033382
-0.6,0.9,-0.564006,0.929982,0.030352
-0.5,0.9,-0.435949,0.812383,0.032874
-0.4,0.9,-0.360745,0.847944,0.03453
-0.3,0.9,-0.277372,1.128613,0.035287
-0.2,0.9,-0.201279,1.501473,0.036014
-0.1,0.9,0.369948,1.613439,0.03002
0.0,0.9,0.585293,1.478555,0.028368
0.1,0.9,0.657053,1.424468,0.038867
0.2,0.9,0.738059,1.258785,0.066497
0.3,0.9,0.835998,1.124553,0.075175
0.4,0.9,0.996732,0.779869,0.12831
0.5,0.9,1.043677,0.444038,0.04488
0.6,0.9,1.021975,0.661248,0.036394
0.7,0.9,1.017747,-0.034295,0.039056
0.8,0.9,0.97864,0.401752,0.155811
0.9,0.9,0.908325,0.310247,0.15505
1.0,0.9,0.979507,-0.082438,0.064019
-1.0,1.0,-0.864164,0.859595,0.027941
-0.9,1.0,-0.915523,0.699522,0.028596
-0.8,1.0,-1.024291,0.628599,0.03648
-0.7,1.0,-0.619562,0.92948,0.031053
-0.6,1.0,-0.671241,0.811992,0.032649
-0.5,1.0,-0.390702,0.803941,0.033168
-0.4,1.0,-0.413244,1.094637,0.029487
-0.3,1.0,-0.324788,1.145202,0.030875
-0.2,1.0,-0.255096,1.541383,0.03149
-0.1,1.0,0.364259,1.822076,0.029195
0.0,1.0,0.700323,1.736485,0.03297
0.1,1.0,0.713196,1.478725,0.022895
0.2,1.0,0.761781,1.188221,0.066723
0.3,1.0,0.960515,0.848992,0.101082
0.4,1.0,0.927214,0.974126,0.043059
0.5,1.0,0.990041,0.603171,0.106088
0.6,1.0,0.904981,0.200756,0.039585
0.7,1.0,0.936285,-0.075685,0.039727
0.8,1.0,1.112245,0.520149,0.071304
0.9,1.0,1.089967,0.594305,0.117841
1.0,1.0,0.856513,-0.278516,0.044921

