Time (s),torque_R1_J1, torque_R1_J2, torque_R1_J3, torque_R2_J1, torque_R2_J2, torque_R2_J3, torque_R3_J1, torque_R3_J2, torque_R3_J3, torque_L1_J1, torque_L1_J2, torque_L1_J3, torque_L2_J1, torque_L2_J2, torque_L2_J3, torque_L3_J1, torque_L3_J2, torque_L3_J3
0.420, 0.001, 0.222, 0.156, 0.001, 0.223, 0.158, 0.001, 0.214, 0.157, -0.001, 0.209, 0.151, -0.001, 0.221, 0.157, -0.001, 0.229, 
0.420, 0.001, 0.222, 0.156, 0.001, 0.223, 0.158, 0.001, 0.214, 0.157, -0.001, 0.209, 0.151, -0.001, 0.221, 0.157, -0.001, 0.229, 
0.435, 0.001, 0.207, 0.142, 0.001, 0.207, 0.143, 0.001, 0.200, 0.142, -0.001, 0.195, 0.137, -0.001, 0.206, 0.142, -0.001, 0.213, 
0.435, 0.001, 0.207, 0.142, 0.001, 0.207, 0.143, 0.001, 0.200, 0.142, -0.001, 0.195, 0.137, -0.001, 0.206, 0.142, -0.001, 0.213, 
0.435, 0.001, 0.207, 0.142, 0.001, 0.207, 0.143, 0.001, 0.200, 0.142, -0.001, 0.195, 0.137, -0.001, 0.206, 0.142, -0.001, 0.213, 
0.450, 0.001, 0.193, 0.128, 0.001, 0.193, 0.129, 0.001, 0.187, 0.128, -0.001, 0.183, 0.124, -0.001, 0.192, 0.129, -0.001, 0.199, 
0.450, 0.001, 0.193, 0.128, 0.001, 0.193, 0.129, 0.001, 0.187, 0.128, -0.001, 0.183, 0.124, -0.001, 0.192, 0.129, -0.001, 0.199, 
0.450, 0.001, 0.193, 0.128, 0.001, 0.193, 0.129, 0.001, 0.187, 0.128, -0.001, 0.183, 0.124, -0.001, 0.192, 0.129, -0.001, 0.199, 
0.465, 0.001, 0.181, 0.116, 0.001, 0.181, 0.116, 0.001, 0.175, 0.116, -0.001, 0.171, 0.112, -0.001, 0.180, 0.117, -0.001, 0.186, 
0.465, 0.001, 0.181, 0.116, 0.001, 0.181, 0.116, 0.001, 0.175, 0.116, -0.001, 0.171, 0.112, -0.001, 0.180, 0.117, -0.001, 0.186, 
0.465, 0.001, 0.181, 0.116, 0.001, 0.181, 0.116, 0.001, 0.175, 0.116, -0.001, 0.171, 0.112, -0.001, 0.180, 0.117, -0.001, 0.186, 
0.480, 0.001, 0.170, 0.105, 0.001, 0.169, 0.105, 0.001, 0.164, 0.105, -0.001, 0.161, 0.101, -0.001, 0.169, 0.105, -0.001, 0.174, 
0.480, 0.001, 0.170, 0.105, 0.001, 0.169, 0.105, 0.001, 0.164, 0.105, -0.001, 0.161, 0.101, -0.001, 0.169, 0.105, -0.001, 0.174, 
0.480, 0.001, 0.170, 0.105, 0.001, 0.169, 0.105, 0.001, 0.164, 0.105, -0.001, 0.161, 0.101, -0.001, 0.169, 0.105, -0.001, 0.174, 
0.495, 0.001, 0.159, 0.094, 0.001, 0.159, 0.095, 0.001, 0.155, 0.095, -0.001, 0.151, 0.091, -0.001, 0.159, 0.095, -0.001, 0.163, 
0.495, 0.001, 0.159, 0.094, 0.001, 0.159, 0.095, 0.001, 0.155, 0.095, -0.001, 0.151, 0.091, -0.001, 0.159, 0.095, -0.001, 0.163, 
0.495, 0.001, 0.159, 0.094, 0.001, 0.159, 0.095, 0.001, 0.155, 0.095, -0.001, 0.151, 0.091, -0.001, 0.159, 0.095, -0.001, 0.163, 
0.510, 0.001, 0.150, 0.085, 0.001, 0.149, 0.085, 0.001, 0.146, 0.086, -0.001, 0.142, 0.082, -0.001, 0.149, 0.086, -0.001, 0.153, 
0.510, 0.001, 0.150, 0.085, 0.001, 0.149, 0.085, 0.001, 0.146, 0.086, -0.001, 0.142, 0.082, -0.001, 0.149, 0.086, -0.001, 0.153, 
0.510, 0.001, 0.150, 0.085, 0.001, 0.149, 0.085, 0.001, 0.146, 0.086, -0.001, 0.142, 0.082, -0.001, 0.149, 0.086, -0.001, 0.153, 
0.525, 0.001, 0.141, 0.077, 0.001, 0.141, 0.077, 0.000, 0.138, 0.077, -0.001, 0.134, 0.074, -0.001, 0.141, 0.078, -0.000, 0.144, 
0.525, 0.001, 0.141, 0.077, 0.001, 0.141, 0.077, 0.000, 0.138, 0.077, -0.001, 0.134, 0.074, -0.001, 0.141, 0.078, -0.000, 0.144, 
0.525, 0.001, 0.141, 0.077, 0.001, 0.141, 0.077, 0.000, 0.138, 0.077, -0.001, 0.134, 0.074, -0.001, 0.141, 0.078, -0.000, 0.144, 
0.540, 0.000, 0.133, 0.069, 0.000, 0.133, 0.069, 0.000, 0.130, 0.070, -0.000, 0.127, 0.067, -0.000, 0.133, 0.070, -0.000, 0.136, 
0.540, 0.000, 0.133, 0.069, 0.000, 0.133, 0.069, 0.000, 0.130, 0.070, -0.000, 0.127, 0.067, -0.000, 0.133, 0.070, -0.000, 0.136, 
0.540, 0.000, 0.133, 0.069, 0.000, 0.133, 0.069, 0.000, 0.130, 0.070, -0.000, 0.127, 0.067, -0.000, 0.133, 0.070, -0.000, 0.136, 
0.555, 0.000, 0.126, 0.062, 0.000, 0.126, 0.062, 0.000, 0.124, 0.063, -0.000, 0.121, 0.060, -0.000, 0.126, 0.063, -0.000, 0.129, 
0.555, 0.000, 0.126, 0.062, 0.000, 0.126, 0.062, 0.000, 0.124, 0.063, -0.000, 0.121, 0.060, -0.000, 0.126, 0.063, -0.000, 0.129, 
