Time (s),torque_R1_J1, torque_R1_J2, torque_R1_J3, torque_R2_J1, torque_R2_J2, torque_R2_J3, torque_R3_J1, torque_R3_J2, torque_R3_J3, torque_L1_J1, torque_L1_J2, torque_L1_J3, torque_L2_J1, torque_L2_J2, torque_L2_J3, torque_L3_J1, torque_L3_J2, torque_L3_J3
0.580, -0.001, -0.830, 0.042, -0.001, -0.830, 0.042, -0.001, -0.830, 0.042, 0.001, -0.830, 0.042, 0.001, -0.830, 0.042, 0.001, -0.830, 
0.580, -0.001, -0.830, 0.042, -0.001, -0.830, 0.042, -0.001, -0.830, 0.042, 0.001, -0.830, 0.042, 0.001, -0.830, 0.042, 0.001, -0.830, 
0.580, -0.001, -0.830, 0.042, -0.001, -0.830, 0.042, -0.001, -0.830, 0.042, 0.001, -0.830, 0.042, 0.001, -0.830, 0.042, 0.001, -0.830, 
0.600, 0.000, -0.827, 0.043, 0.000, -0.827, 0.043, 0.000, -0.827, 0.043, -0.001, -0.827, 0.043, -0.001, -0.827, 0.043, -0.001, -0.827, 
0.600, 0.000, -0.827, 0.043, 0.000, -0.827, 0.043, 0.000, -0.827, 0.043, -0.001, -0.827, 0.043, -0.001, -0.827, 0.043, -0.001, -0.827, 
0.600, 0.000, -0.827, 0.043, 0.000, -0.827, 0.043, 0.000, -0.827, 0.043, -0.001, -0.827, 0.043, -0.001, -0.827, 0.043, -0.001, -0.827, 
0.620, -0.001, -0.826, 0.043, -0.001, -0.826, 0.043, -0.001, -0.826, 0.043, -0.001, -0.826, 0.043, -0.001, -0.826, 0.043, -0.001, -0.826, 
0.620, -0.001, -0.826, 0.043, -0.001, -0.826, 0.043, -0.001, -0.826, 0.043, -0.001, -0.826, 0.043, -0.001, -0.826, 0.043, -0.001, -0.826, 
0.620, -0.001, -0.826, 0.043, -0.001, -0.826, 0.043, -0.001, -0.826, 0.043, -0.001, -0.826, 0.043, -0.001, -0.826, 0.043, -0.001, -0.826, 
0.640, 0.001, -0.826, 0.043, 0.001, -0.826, 0.043, 0.001, -0.826, 0.043, 0.001, -0.826, 0.043, 0.001, -0.826, 0.043, 0.001, -0.826, 
0.640, 0.001, -0.826, 0.043, 0.001, -0.826, 0.043, 0.001, -0.826, 0.043, 0.001, -0.826, 0.043, 0.001, -0.826, 0.043, 0.001, -0.826, 
0.640, 0.001, -0.826, 0.043, 0.001, -0.826, 0.043, 0.001, -0.826, 0.043, 0.001, -0.826, 0.043, 0.001, -0.826, 0.043, 0.001, -0.826, 
0.660, 0.001, -0.828, 0.042, 0.001, -0.828, 0.042, 0.001, -0.828, 0.042, 0.001, -0.828, 0.042, 0.001, -0.828, 0.042, 0.001, -0.828, 
0.660, 0.001, -0.828, 0.042, 0.001, -0.828, 0.042, 0.001, -0.828, 0.042, 0.001, -0.828, 0.042, 0.001, -0.828, 0.042, 0.001, -0.828, 
0.660, 0.001, -0.828, 0.042, 0.001, -0.828, 0.042, 0.001, -0.828, 0.042, 0.001, -0.828, 0.042, 0.001, -0.828, 0.042, 0.001, -0.828, 
0.680, -0.001, -0.830, 0.042, -0.001, -0.830, 0.042, -0.001, -0.830, 0.042, -0.001, -0.830, 0.042, -0.001, -0.830, 0.042, -0.001, -0.830, 
0.680, -0.001, -0.830, 0.042, -0.001, -0.830, 0.042, -0.001, -0.830, 0.042, -0.001, -0.830, 0.042, -0.001, -0.830, 0.042, -0.001, -0.830, 
0.680, -0.001, -0.830, 0.042, -0.001, -0.830, 0.042, -0.001, -0.830, 0.042, -0.001, -0.830, 0.042, -0.001, -0.830, 0.042, -0.001, -0.830, 
0.700, 0.000, -0.833, 0.041, 0.000, -0.833, 0.041, 0.000, -0.833, 0.041, 0.000, -0.833, 0.041, 0.000, -0.833, 0.041, 0.000, -0.833, 
0.700, 0.000, -0.833, 0.041, 0.000, -0.833, 0.041, 0.000, -0.833, 0.041, 0.000, -0.833, 0.041, 0.000, -0.833, 0.041, 0.000, -0.833, 
0.700, 0.000, -0.833, 0.041, 0.000, -0.833, 0.041, 0.000, -0.833, 0.041, 0.000, -0.833, 0.041, 0.000, -0.833, 0.041, 0.000, -0.833, 
0.720, 0.001, -0.837, 0.040, 0.001, -0.837, 0.040, 0.001, -0.837, 0.040, 0.001, -0.837, 0.040, 0.001, -0.837, 0.040, 0.001, -0.837, 
0.720, 0.001, -0.837, 0.040, 0.001, -0.837, 0.040, 0.001, -0.837, 0.040, 0.001, -0.837, 0.040, 0.001, -0.837, 0.040, 0.001, -0.837, 
0.720, 0.001, -0.837, 0.040, 0.001, -0.837, 0.040, 0.001, -0.837, 0.040, 0.001, -0.837, 0.040, 0.001, -0.837, 0.040, 0.001, -0.837, 
0.740, -0.001, -0.839, 0.040, -0.001, -0.839, 0.040, -0.001, -0.839, 0.040, -0.001, -0.839, 0.040, -0.001, -0.839, 0.040, -0.001, -0.839, 
0.740, -0.001, -0.839, 0.040, -0.001, -0.839, 0.040, -0.001, -0.839, 0.040, -0.001, -0.839, 0.040, -0.001, -0.839, 0.040, -0.001, -0.839, 
0.740, -0.001, -0.839, 0.040, -0.001, -0.839, 0.040, -0.001, -0.839, 0.040, -0.001, -0.839, 0.040, -0.001, -0.839, 0.040, -0.001, -0.839, 
0.760, -0.001, -0.839, 0.040, -0.001, -0.839, 0.040, -0.001, -0.839, 0.040, -0.001, -0.839, 0.040, -0.001, -0.839, 0.040, -0.001, -0.839, 
0.760, -0.001, -0.839, 0.040, -0.001, -0.839, 0.040, -0.001, -0.839, 0.040, -0.001, -0.839, 0.040, -0.001, -0.839, 0.040, -0.001, -0.839, 
0.760, -0.001, -0.839, 0.040, -0.001, -0.839, 0.040, -0.001, -0.839, 0.040, -0.001, -0.839, 0.040, -0.001, -0.839, 0.040, -0.001, -0.839, 
